id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,30,0-43,0-127,185,0,loop,61,0,0,100,7375,0,-12000,-12000,-3429,5168,1000,-856,0,0,-12000,-12000,-12000,-1386,737,94,0,4050,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
1,30,44-53,0-127,185,0,loop,61,0,0,100,7375,0,-12000,-12000,-3429,4551,1000,-856,0,0,-12000,-12000,-12000,-1386,716,94,0,4050,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
2,29,54-56,0-127,185,0,loop,65,0,0,100,7375,0,-12000,-12000,-3429,4551,1000,-856,0,0,-12000,-12000,-12000,-1386,685,94,0,4050,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
3,28,57-62,0-127,178,0,loop,70,0,0,100,7375,0,-12000,-12000,-3429,4101,1000,-856,0,0,-12000,-12000,-12000,-1453,664,94,0,4050,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
4,27,63-65,0-127,178,0,loop,74,0,0,100,7375,0,-12000,-12000,-3429,4101,1000,-856,0,0,-12000,-12000,-12000,-1514,601,94,0,4050,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
5,26,66-69,0-127,178,0,loop,78,0,0,100,7375,0,-12000,-12000,-3429,3747,1000,-856,0,0,-12000,-12000,-12000,-1514,569,94,0,4050,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
6,25,70-71,0-127,178,0,loop,82,0,0,100,7375,0,-12000,-12000,-3429,3747,1000,-856,0,0,-12000,-12000,-12000,-1514,538,94,0,4050,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
7,25,72-74,0-127,178,0,loop,82,0,0,100,7375,0,-12000,-12000,-3429,3454,1000,-856,0,0,-12000,-12000,-12000,-1514,506,94,0,4050,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
8,24,75-84,0-127,185,0,loop,86,0,0,100,7375,0,-12000,-12000,-3429,3203,1000,-856,0,0,-12000,-12000,-12000,-1514,485,94,0,3937,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
9,24,85-97,0-127,193,0,loop,86,0,0,100,7375,0,-12000,-12000,-12000,2985,1000,-856,0,0,-12000,-12000,-12000,-1514,464,94,0,3825,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
10,31,98-108,0-127,170,0,loop,107,0,0,100,7375,0,-12000,-12000,-12000,2214,1000,-856,0,0,-12000,-12000,-12000,-1514,554,94,0,3725,0,0,-7973,-698,0,0,0,-7973,-698,0,0,0,16,-1,-1,0,0,0,0,0,0,0,0
