id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,11,0-29,0-127,135,4,loop,63,0,0,100,6900,0,-12000,-12000,-887,6001,1000,75,0,0,-12000,-12000,-4786,5783,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
1,11,30-35,0-127,135,4,loop,63,0,0,100,6900,0,-12000,-12000,-887,5783,1000,75,0,0,-12000,-12000,-4786,5783,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
2,11,36-38,0-127,135,4,loop,63,0,0,100,6900,0,-12000,-12000,-887,5570,1000,75,0,0,-12000,-12000,-4786,5783,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
3,10,39-43,0-127,127,4,loop,68,0,0,100,6900,0,-12000,-12000,-473,5570,1000,75,0,0,-12000,-12000,-4786,5258,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
4,10,44-44,0-127,127,4,loop,68,0,0,100,6900,0,-12000,-12000,-473,5570,1000,75,0,0,-12000,-12000,-4786,5258,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
5,9,45-50,0-127,135,4,loop,73,0,0,100,6900,0,-12000,-12000,-803,5258,1000,75,0,0,-12000,-12000,-4786,5156,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
6,9,51-51,0-127,135,4,loop,73,0,0,100,6900,0,-12000,-12000,-803,5258,1000,75,0,0,-12000,-12000,-4786,5156,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
7,8,52-52,0-127,135,4,loop,74,0,0,100,6900,0,-12000,-12000,5,5156,1000,75,0,0,-12000,-12000,-4786,5054,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
8,8,53-55,0-127,135,4,loop,74,0,0,100,6900,0,-12000,-12000,5,5156,1000,75,0,0,-12000,-12000,-4786,5054,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
9,8,56-56,0-127,135,4,loop,74,0,0,100,6900,0,-12000,-12000,5,5156,1000,75,0,0,-12000,-12000,-4786,5054,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
10,8,57-57,0-127,135,4,loop,74,0,0,100,6900,0,-12000,-12000,5,5156,1000,75,0,0,-12000,-12000,-4786,5054,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
11,7,58-59,0-127,135,4,loop,80,0,0,100,6900,0,-12000,-12000,5,4953,1000,75,0,0,-12000,-12000,-4786,5156,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
12,7,60-62,0-127,135,4,loop,80,0,0,100,6900,0,-12000,-12000,5,4953,1000,75,0,0,-12000,-12000,-4786,5156,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
13,7,63-64,0-127,135,4,loop,80,0,0,100,6900,0,-12000,-12000,5,4953,1000,75,0,0,-12000,-12000,-4786,5156,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
14,6,65-67,0-127,135,4,loop,83,0,0,100,6900,0,-12000,-12000,5,4852,1000,75,0,0,-12000,-12000,-4786,5054,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
15,6,68-69,0-127,135,4,loop,83,0,0,100,6900,0,-12000,-12000,5,4852,1000,75,0,0,-12000,-12000,-4786,5054,1000,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
16,5,70-70,0-127,135,4,loop,87,0,0,100,6900,0,-12000,-12000,5,4752,1000,75,0,0,-12000,-12000,-4786,4852,706,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
17,5,71-73,0-127,135,4,loop,87,0,0,100,6900,0,-12000,-12000,5,4752,1000,75,0,0,-12000,-12000,-4786,4852,706,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
18,5,74-75,0-127,135,4,loop,87,0,0,100,6900,0,-12000,-12000,5,4752,1000,75,0,0,-12000,-12000,-4786,4752,706,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
19,5,76-76,0-127,135,4,loop,87,0,0,100,6900,0,-12000,-12000,5,4752,1000,75,0,0,-12000,-12000,-4786,4752,706,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
20,5,77-80,0-127,135,4,loop,87,0,0,100,6900,0,-12000,-12000,5,4752,1000,75,0,0,-12000,-12000,-4786,4752,706,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
21,4,81-83,0-127,135,4,loop,98,0,0,100,6900,0,-12000,-12000,-72,4455,1000,75,0,0,-12000,-12000,-4786,4455,559,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
22,4,84-86,0-127,135,4,loop,98,0,0,100,6900,0,-12000,-12000,-72,4455,1000,75,0,0,-12000,-12000,-4786,4455,559,2804,0,3009,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
23,3,87-87,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-637,4160,1000,75,0,0,-12000,-12000,-4786,3963,317,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
24,3,88-88,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-637,4160,1000,75,0,0,-12000,-12000,-4786,3963,317,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
25,3,89-89,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-637,4160,1000,75,0,0,-12000,-12000,-4786,3963,317,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
26,3,90-91,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-637,4160,1000,75,0,0,-12000,-12000,-4786,3963,317,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
27,3,92-93,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-637,4160,1000,75,0,0,-12000,-12000,-4786,3963,317,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
28,3,94-95,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-719,2996,1000,2610,0,0,-12000,-12000,-4786,3093,170,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
29,3,96-96,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-719,2996,1000,2610,0,0,-12000,-12000,-4786,3093,170,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
30,3,97-97,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-719,2996,1000,2610,0,0,-12000,-12000,-4786,3093,170,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
31,3,98-98,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-719,2996,1000,2610,0,0,-12000,-12000,-4786,3093,170,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
32,3,99-108,0-127,135,4,loop,104,0,0,100,6900,0,-12000,-12000,-719,2996,1000,2610,0,0,-12000,-12000,-4786,3093,170,2804,0,3122,0,0,-7973,-1118,0,0,0,-7973,-1118,0,0,0,70,-1,-1,0,0,0,0,0,0,0,0
