id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,84,56-65,0-127,222,4,no loop,44,0,35,100,9381,0,-12000,-12000,-12000,-12000,0,947,0,0,-12000,-12000,-12000,824,0,768,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
1,60,66-66,0-127,35,256,loop,80,0,35,100,9381,0,-12000,-12000,-3429,1374,1000,1374,0,0,-12000,-12000,-12000,-12000,0,2985,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
2,90,67-67,0-127,65,-279,loop,74,0,-10,100,9381,0,-12000,-12000,-3429,632,1000,531,0,0,-12000,-12000,-12000,-12000,0,2985,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
3,90,68-68,0-127,65,-318,loop,80,0,-9,100,9381,0,-12000,-12000,-3429,885,1000,947,0,0,-12000,-12000,-12000,-12000,0,2985,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
4,59,69-69,0-127,65,-413,no loop,81,0,-1,100,9381,0,-12000,-12000,-7657,-12000,0,2900,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
5,58,70-70,0-127,95,-397,no loop,82,0,-1,100,9381,0,-12000,-12000,-6861,-12000,0,2900,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
6,57,71-71,0-127,67,264,loop,79,0,-25,100,9381,0,-12000,-8857,-5331,-1106,1000,-1106,0,0,-12000,-12000,-12000,-12000,0,2985,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,2,0,1,-1,-1,0,0,0,0,0,0,0,0
7,57,72-72,0-127,130,264,loop,83,0,-25,100,9381,0,-12000,-8857,-1626,-3790,1000,-856,0,0,-12000,-12000,-12000,-12000,0,2985,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,2,0,1,-1,-1,0,0,0,0,0,0,0,0
8,56,73-73,0-127,65,264,no loop,84,0,21,100,9381,0,-12000,-12000,-12000,-12000,0,2900,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,5,0,1,-1,-1,0,0,0,0,0,0,0,0
9,55,74-74,0-127,72,193,no loop,84,0,19,100,9381,0,-12000,-12000,-12000,-12000,0,2900,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,5,0,1,-1,-1,0,0,0,0,0,0,0,0
10,54,75-75,0-127,35,256,no loop,87,0,-1,100,9381,0,-12000,-12000,-12000,-12000,0,2900,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
11,89,76-76,0-127,35,264,no loop,94,0,-1,100,9381,0,-12000,-12000,-12000,-12000,0,2900,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
12,89,77-77,0-127,35,256,no loop,100,0,-1,100,9381,0,-12000,-12000,-12000,-12000,0,2900,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
