id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,84,27-27,0-127,227,4,no loop,44,0,35,100,9381,0,-12000,-12000,-12000,-12000,0,947,0,0,-12000,-12000,-12000,824,0,768,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
1,83,28-28,0-127,152,4,no loop,40,0,-1,100,9381,15,-12000,-12000,-12000,-12000,0,1254,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
2,82,29-29,0-127,130,4,no loop,44,0,35,100,13500,0,-12000,-12000,-12000,885,1000,885,0,0,-12000,-12000,-12000,-6071,916,-6071,375,0,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
3,82,30-30,0-127,145,4,no loop,44,0,35,100,13500,0,-12000,-12000,-12000,-12000,0,-1769,0,0,-12000,-12000,-12000,-12000,0,75,0,0,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
4,81,31-31,0-127,90,4,no loop,46,0,-33,100,9381,0,-12000,-12000,-12000,-12000,0,1254,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
5,80,32-32,0-127,90,4,no loop,34,0,0,100,9381,0,-12000,-12000,-12000,-12000,0,75,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
6,79,33-33,0-127,77,4,no loop,47,0,32,100,9381,0,-12000,-12000,-12000,-12000,0,-735,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
7,79,34-34,0-127,77,4,no loop,48,0,32,100,9381,0,-12000,-12000,-12000,5258,0,75,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
8,78,35-35,0-127,70,4,no loop,48,0,-32,100,9381,0,-12000,-12000,-7657,2226,1000,2318,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
9,78,36-36,0-127,70,4,no loop,47,0,-34,100,13500,0,-12000,-12000,-7657,1449,1000,1644,0,0,-12000,-12000,-12000,-12000,0,75,0,0,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
10,76,37-37,0-127,70,4,no loop,48,0,-25,100,9381,0,-12000,-12000,-6861,666,1000,1254,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
11,75,38-38,0-127,90,4,no loop,46,0,-28,100,9381,0,-12000,-12000,-3429,-12000,0,1833,0,0,-12000,-12000,-3429,-1453,1000,2985,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
12,74,39-39,0-127,90,-153,no loop,51,0,-1,100,9381,0,-12000,-12000,-7657,1449,1000,1545,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
13,73,40-40,0-127,90,4,no loop,50,0,21,100,9381,0,-12000,-12000,-5293,2321,1000,3673,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
14,87,41-41,0-127,90,-381,loop,53,0,44,100,9381,0,-12000,-12000,-3480,2031,1000,2128,0,0,-12000,-12000,-12000,-12000,0,2900,19,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
15,72,42-42,0-127,130,256,no loop,46,0,-19,100,9381,0,-12000,-12000,-4786,-1769,1000,-937,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0
16,87,43-43,0-127,90,-255,loop,53,0,44,100,9381,0,-12000,-12000,-3480,1936,1000,2028,0,0,-12000,-12000,-12000,-12000,0,2900,19,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
17,71,44-44,0-127,175,209,no loop,53,0,-9,100,9381,0,-12000,-8590,-5293,1838,1000,1936,0,0,-12000,-12000,-12000,-12000,0,2900,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0
18,87,45-45,0-127,90,-113,loop,53,0,44,100,9381,0,-12000,-12000,-3467,1738,1000,1838,0,0,-12000,-12000,-12000,-12000,0,2900,19,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
19,70,46-46,0-127,70,154,loop,54,0,-46,100,9381,0,-12000,-12000,-4169,2604,1000,2700,0,0,-12000,-12000,-12000,-12000,0,4752,0,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0
20,87,47-47,0-127,50,130,loop,53,0,44,100,9381,0,-12000,-12000,-3467,1545,1000,1644,0,0,-12000,-12000,-12000,-12000,0,2900,19,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
21,87,48-48,0-127,90,280,loop,51,0,44,100,9381,0,-12000,-12000,-3467,1352,1000,1449,0,0,-12000,-12000,-12000,-12000,0,2900,75,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
22,86,49-49,0-127,76,201,loop,58,0,21,100,10148,0,-12000,-12000,-1962,3446,1000,3446,0,0,-12000,-12000,-12000,2791,1000,2826,0,2812,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
23,87,50-50,0-127,90,382,loop,51,0,44,100,9381,0,-12000,-12000,-3467,1156,1000,1254,0,0,-12000,-12000,-12000,-12000,0,2900,19,3375,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
24,45,51-51,0-127,147,-192,loop,59,0,5,100,11316,0,-12000,-12000,-8857,3978,1000,3976,0,0,-12000,-12000,-12000,-1099,1000,-1300,0,800,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
25,46,52-52,0-127,115,-153,loop,63,0,50,100,9617,0,-12000,-12000,-6386,2516,1000,2610,0,0,-12000,-12000,-4555,5054,1000,4852,0,2925,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,0,0
26,77,53-53,0-127,165,-161,loop,63,0,21,100,13500,0,-12000,-12000,-5573,3867,1000,3963,0,0,-12000,-12000,-12000,-12000,0,75,0,0,0,0,-7973,-808,0,0,0,-7973,-808,0,0,0,1,-1,-1,0,0,0,0,0,0,1,0
