id,sample id,key range,velocity range,attenuation,pan,loop playback,root key,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,exclusive class,chorus,reverb,fixed key,fixed velocity,sample start offset,sample start coarse offset,sample end offset,sample end coarse offset,loop start offset,loop start coarse offset,loop end offset,loop end coarse offset
0,92,0-38,0-127,100,-300,loop,-1,0,0,100,9600,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
1,92,39-41,0-127,100,-260,loop,-1,0,0,100,9800,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
2,97,42-46,0-127,100,-220,loop,-1,0,0,100,9600,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
3,97,47-49,0-127,100,-180,loop,-1,0,0,100,9700,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
4,95,50-54,0-127,100,-140,loop,-1,0,0,100,9600,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
5,95,55-57,0-127,100,-100,loop,-1,0,0,100,9600,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
6,93,58-62,0-127,100,-60,loop,-1,0,0,100,9600,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
7,93,63-65,0-127,100,-20,loop,-1,0,0,100,9500,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
8,98,66-70,0-127,100,20,loop,-1,0,0,100,9600,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
9,98,71-73,0-127,75,60,loop,-1,0,0,100,9200,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
10,96,74-78,0-127,63,100,loop,-1,0,0,100,9600,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
11,96,79-81,0-127,50,140,loop,-1,0,0,100,9100,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
12,94,82-86,0-127,113,180,loop,-1,0,0,100,9600,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
13,94,87-89,0-127,125,220,loop,-1,0,0,100,9000,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
14,99,90-98,0-127,100,260,loop,-1,0,0,100,9600,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
15,99,99-127,0-127,100,300,loop,-1,0,0,100,8900,0,-12000,-12000,-2079,5888,960,-617,84,84,-12000,-12000,-12000,-12000,0,-12000,0,0,0,0,-12000,0,0,0,0,-12000,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
