id,instrument id,key range,velocity range,attenuation,pan,coarse tuning,fine tuning,scale tuning,filter cutoff,filter resonance,vol env delay,vol env attack,vol env hold,vol env decay,vol env sustain,vol env release,key → vol env hold,key → vol env decay,mod env delay,mod env attack,mod env hold,mod env decay,mod env sustain,mod env release,mod env → pitch,mod env → filter,key → mod env hold,key → mod env decay,mod LFO delay,mod LFO freq,mod LFO → pitch,mod LFO → filter,mod LFO → volume,vib LFO delay,vib LFO freq,vib LFO → pitch,chorus,reverb
0,15,0-127,121-127,30,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
1,15,0-127,114-120,80,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
2,15,0-127,107-113,120,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
3,15,0-127,99-106,170,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
4,15,0-127,92-98,210,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
5,15,0-127,83-91,260,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
6,15,0-127,71-82,300,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
7,15,0-127,59-70,350,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
8,15,0-127,46-58,390,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
9,15,0-127,0-45,440,0,0,0,0,6386,0,-7973,-7973,0,0,960,-1200,0,0,-7973,-7973,-7973,0,800,-1200,0,0,0,0,-7973,0,0,0,0,-7973,0,0,80,0
10,16,54-74,117-127,60,-250,0,-5,0,454,0,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,3400,0,0,-7973,0,0,0,0,-7973,0,0,80,0
11,16,54-74,106-116,40,-250,0,-5,0,316,0,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,3100,0,0,-7973,0,0,0,0,-7973,0,0,80,0
12,16,54-74,93-105,20,-250,0,-5,0,165,0,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,2800,0,0,-7973,0,0,0,0,-7973,0,0,80,0
13,16,54-74,79-92,0,-250,0,-5,0,0,0,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,2500,0,0,-7973,0,0,0,0,-7973,0,0,80,0
14,16,54-74,67-78,-20,-250,0,-5,0,-182,0,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,2200,0,0,-7973,0,0,0,0,-7973,0,0,80,0
15,16,54-74,38-66,-40,-250,0,-5,0,-386,0,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,1900,0,0,-7973,0,0,0,0,-7973,0,0,80,0
16,16,54-74,0-37,-60,-250,0,-5,0,-617,0,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,1600,0,0,-7973,0,0,0,0,-7973,0,0,80,0
17,16,75-127,106-127,20,-250,0,-5,0,165,20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,2800,0,0,-7973,0,0,0,0,-7973,0,0,80,0
18,16,75-127,85-105,0,-250,0,-5,0,0,20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,2500,0,0,-7973,0,0,0,0,-7973,0,0,80,0
19,16,75-127,61-84,-20,-250,0,-5,0,-182,20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,2200,0,0,-7973,0,0,0,0,-7973,0,0,80,0
20,16,75-127,34-60,-40,-250,0,-5,0,-386,20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,1900,0,0,-7973,0,0,0,0,-7973,0,0,80,0
21,16,75-127,0-33,-60,-250,0,-5,0,-617,20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,1600,0,0,-7973,0,0,0,0,-7973,0,0,80,0
22,16,0-53,117-127,60,-250,0,-5,0,454,-20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,3400,0,0,-7973,0,0,0,0,-7973,0,0,80,0
23,16,0-53,106-116,40,-250,0,-5,0,316,-20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,3100,0,0,-7973,0,0,0,0,-7973,0,0,80,0
24,16,0-53,93-105,20,-250,0,-5,0,165,-20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,2800,0,0,-7973,0,0,0,0,-7973,0,0,80,0
25,16,0-53,79-92,0,-250,0,-5,0,0,-20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,2500,0,0,-7973,0,0,0,0,-7973,0,0,80,0
26,16,0-53,67-78,-20,-250,0,-5,0,-182,-20,-7973,-7973,-7973,5186,960,-1200,0,0,-7973,-7973,-7973,702,800,-1200,0,2200,0,0,-7973,0,0,0,0,-7973,0,0,80,0
