id,name,sample type,sample link id,pitch,pitch correction (cents),length,start loop,end loop,sample rate,bits per sample
0,Acoustic Bass A51,mono,0,106,29,156,145,152,24000,16
1,Acoustic Bass A11,mono,0,57,-1,2836,2723,2832,24000,16
2,Acoustic Bass A31,mono,0,84,-45,561,535,558,24000,16
3,Piano Gb5,mono,0,104,35,6235,6047,6231,24000,16
4,Piano C5,mono,0,98,35,8355,8143,8351,24000,16
5,Piano Db4,mono,0,87,35,14103,13549,14099,24000,16
6,Piano Ab3,mono,0,83,-48,14722,14528,14718,24000,16
7,Piano Db3,mono,0,80,41,12058,11551,12054,24000,16
8,Piano Ab2,mono,0,74,7,14929,11242,14924,24000,16
9,Piano Db2,mono,0,73,-28,8235,5845,8231,24000,16
10,Piano Gb1,mono,0,68,38,10162,6666,10158,24000,16
11,Piano D1,mono,0,63,-15,10165,8323,10162,24000,16
12,Kalimba C5,mono,0,92,-32,648,97,126,24000,16
13,Kalimba C3,mono,0,72,-3,2413,1233,1325,24000,16
14,SynthStrings G4,mono,0,93,35,5099,3,5086,24000,16
15,SynthStrings G3,mono,0,78,-25,5079,8,5072,24000,16
16,SynthStrings G2,mono,0,67,-1,6134,10,6130,24000,16
17,SynthStrings D6,mono,0,112,35,2953,16,2911,24000,16
18,SawBassWave F6,mono,0,109,13,171,161,167,24000,16
19,SawBassWave F5,mono,0,94,-45,66,42,55,24000,16
20,SawBassWave Bb3,mono,0,74,13,1282,1195,1278,24000,16
21,SawBassWave C3,mono,0,64,5,1163,261,334,24000,16
22,SawBassWave C2,mono,0,52,5,1132,914,1060,24000,16
23,SawBassWave C1,mono,0,40,2,1478,1183,1474,24000,16
24,N Guitar E4,mono,0,86,23,1185,717,738,24000,16
25,N Guitar C4,mono,0,82,-8,1201,4,30,24000,16
26,N Guitar Ab3,mono,0,78,-15,1209,36,68,24000,16
27,N Guitar E3,mono,0,74,-1,1193,1141,1182,24000,16
28,N Guitar B2,mono,0,70,-8,1217,209,260,24000,16
29,N Guitar Gb2,mono,0,65,-16,1183,654,722,24000,16
30,N Guitar D2,mono,0,61,12,1315,636,723,24000,16
